user_id,product_id,product_category,event_type,event_timestamp,price,user_location,device_type,quantity,coupon_used,user_age,user_gender,product_rating,product_stock_status,payment_method
U632,P34,Toys,add_to_cart,08-01-2025 19:23,236.43,Kolkata,Desktop,2,Yes,18-24,Other,4.03,In Stock,
U839,P775,Toys,purchase,29-05-2025 13:23,599.6,Bangalore,Desktop,1,No,25-34,Female,1.73,In Stock,UPI
U827,P688,Beauty,view,08-05-2025 15:27,333.28,Bangalore,Tablet,0,No,45-54,Other,3.3,In Stock,
U23,P888,Clothing,purchase,12-04-2025 19:30,658.67,Kolkata,Mobile,1,Yes,18-24,Female,4.74,In Stock,Cash
U582,P185,Beauty,add_to_cart,07-05-2025 08:54,390.69,Pune,Desktop,2,No,18-24,Male,4.11,In Stock,
U551,P262,Electronics,purchase,09-12-2024 16:24,84.49,Chennai,Tablet,4,Yes,55+,Female,1.92,In Stock,Net Banking
U446,P820,Toys,purchase,13-12-2024 14:40,663.91,Bangalore,Mobile,1,No,45-54,Female,2.39,Out of Stock,UPI
U310,P13,Clothing,purchase,17-05-2025 19:44,449.16,Hyderabad,Tablet,3,No,35-44,Male,4.75,Out of Stock,Debit Card
U163,P891,Toys,purchase,30-05-2025 19:54,132.18,Hyderabad,Desktop,1,No,55+,Other,2.44,Out of Stock,Credit Card
U563,P721,Books,purchase,16-12-2024 05:34,176.1,Kolkata,Tablet,3,No,25-34,Other,4.41,Out of Stock,Cash
U535,P63,Sports,add_to_cart,13-04-2025 17:54,328.7,Chennai,Tablet,1,Yes,55+,Male,1.31,In Stock,
U698,P471,Sports,add_to_cart,26-03-2025 10:47,859.4,Pune,Desktop,5,No,45-54,Male,1.01,Out of Stock,
U321,P794,Clothing,add_to_cart,26-04-2025 11:56,96.97,Kolkata,Tablet,5,No,55+,Other,1.01,Out of Stock,
U339,P347,Home,add_to_cart,16-03-2025 00:41,550.68,Mumbai,Tablet,3,No,35-44,Female,4.58,In Stock,
U236,P694,Clothing,purchase,20-05-2025 17:33,1049.22,Kolkata,Tablet,3,No,18-24,Male,1.94,In Stock,Debit Card
U308,P59,Toys,view,04-03-2025 00:50,398.56,Delhi,Mobile,0,Yes,18-24,Male,3.5,In Stock,
U883,P492,Electronics,add_to_cart,17-05-2025 20:35,695.39,Hyderabad,Mobile,1,Yes,18-24,Female,2.01,In Stock,
U872,P662,Clothing,view,25-01-2025 17:25,102.48,Pune,Tablet,0,No,55+,Female,3.57,In Stock,
U971,P214,Books,purchase,29-12-2024 08:12,58.23,Kolkata,Desktop,1,Yes,55+,Male,3.8,Out of Stock,Debit Card
U329,P171,Electronics,add_to_cart,05-04-2025 10:58,129.51,Hyderabad,Desktop,1,Yes,55+,Female,4.72,Out of Stock,
U954,P164,Beauty,view,01-02-2025 18:19,864.97,Bangalore,Tablet,0,No,35-44,Male,4.3,Out of Stock,
U757,P577,Beauty,purchase,08-01-2025 15:56,596.32,Pune,Desktop,4,Yes,45-54,Female,3.66,Out of Stock,Cash
U183,P885,Home,add_to_cart,22-02-2025 10:16,963.05,Chennai,Desktop,1,No,18-24,Female,1.28,Out of Stock,
U49,P601,Electronics,add_to_cart,14-05-2025 23:13,546.2,Chennai,Desktop,2,No,35-44,Other,1.6,Out of Stock,
U915,P753,Electronics,add_to_cart,20-12-2024 08:38,592.61,Delhi,Mobile,3,Yes,45-54,Male,4.55,In Stock,
U300,P640,Clothing,view,28-12-2024 16:12,823.21,Pune,Tablet,0,No,45-54,Other,4.01,Out of Stock,
U184,P255,Electronics,purchase,19-12-2024 10:46,929.45,Delhi,Tablet,4,Yes,55+,Male,4.99,Out of Stock,Cash
U258,P703,Beauty,add_to_cart,04-02-2025 16:33,98.66,Kolkata,Tablet,2,No,25-34,Other,4,Out of Stock,
U269,P316,Toys,view,01-03-2025 02:56,594.68,Hyderabad,Mobile,0,No,25-34,Female,1.12,Out of Stock,
U841,P301,Clothing,add_to_cart,08-12-2024 01:39,397.21,Mumbai,Mobile,1,Yes,35-44,Other,1.66,Out of Stock,
U905,P264,Beauty,view,11-12-2024 09:55,245.64,Delhi,Mobile,0,Yes,55+,Other,2.59,In Stock,
U389,P733,Books,view,03-01-2025 09:09,945.95,Chennai,Desktop,0,No,45-54,Male,2.9,In Stock,
